datetime,GHI,BNI,DHI,DBT,RH,Ws10,Wd10,Patmo,Rainfall
01-Jan-2021 00:10:00,0,0,0,24.483,76.639,3.6342,88.251,1016,0
01-Jan-2021 00:20:00,0,0,0,24.326,76.643,2.6304,94.15,1016,0
01-Jan-2021 00:30:00,0,0,0,24.323,79.032,4.3087,102.68,1016,0
01-Jan-2021 00:40:00,0,0,0,24.044,80.22,3.549,101.469,1016,0
01-Jan-2021 00:50:00,0,0,0,23.858,78.964,2.886,96.139,1016,0
01-Jan-2021 01:00:00,0,0,0,24.158,75.921,2.7326,98.05,1016,0
01-Jan-2021 01:10:00,0,0,0,24.367,75.704,2.9312,105.68,1016,0
01-Jan-2021 01:20:00,0,0,0,24.379,77.481,3.8905,108.15,1016,0
01-Jan-2021 01:30:00,0,0,0,24.293,80.493,2.9439,100.84,1015.6,0
01-Jan-2021 01:40:00,0,0,0,23.867,75.7,3.7057,97.06,1015,0
01-Jan-2021 01:50:00,0,0,0,24.234,71.973,3.7472,103.39,1015,0
01-Jan-2021 02:00:00,0,0,0,24.23,70.294,3.0436,92.6,1015,0
01-Jan-2021 02:10:00,0,0,0,24.271,69.658,3.1574,80.53,1015,0
01-Jan-2021 02:20:00,0,0,0,24.232,70.353,2.136,91.042,1015,0
01-Jan-2021 02:30:00,0,0,0,24.364,74.364,3.3414,108.715,1015,0
01-Jan-2021 02:40:00,0,0,0,24.296,77.912,3.195,100.63,1015,0
01-Jan-2021 02:50:00,0,0,0,23.972,77.863,2.9577,92.524,1015,0
01-Jan-2021 03:00:00,0,0,0,23.829,76.956,2.315,100.78,1015,0
01-Jan-2021 03:10:00,0,0,0,23.893,77.303,3.2226,102.31,1015,0
01-Jan-2021 03:20:00,0,0,0,24.11,77.783,3.6025,107.3,1015,0
01-Jan-2021 03:30:00,0,0,0,23.975,77.453,4.2194,103.6,1015,0
01-Jan-2021 03:40:00,0,0,0,24.061,75.182,3.9043,104.03,1015,0
01-Jan-2021 03:50:00,0,0,0,24.037,73.572,3.9802,108.36,1015,0
01-Jan-2021 04:00:00,0,0,0,24.173,73.844,4.3564,108.52,1015,0
01-Jan-2021 04:10:00,0,0,0,24.141,73.959,3.0267,104.01,1015,0
01-Jan-2021 04:20:00,0,0,0,24.128,74.355,3.595,101.47,1015,0
01-Jan-2021 04:30:00,0,0,0,24.087,74.064,2.6379,102.497,1015,0
01-Jan-2021 04:40:00,0,0,0,23.999,73.1,2.3617,99.952,1015,0
01-Jan-2021 04:50:00,0,0,0,23.875,72.736,2.3301,95.837,1015,0
01-Jan-2021 05:00:00,0,0,0,23.8,74.463,2.8008,102.005,1015,0
01-Jan-2021 05:10:00,0,0,0,23.71,76.011,3.8629,110.56,1015,0
01-Jan-2021 05:20:00,0,0,0,23.864,75.168,4.2231,112.8,1015,0
01-Jan-2021 05:30:00,0,0,0,23.709,71.246,3.4755,105.55,1015.4,0
01-Jan-2021 05:40:00,1.2209,0,1.2209,23.751,70.4,1.9348,106.52,1015.8,0
01-Jan-2021 05:50:00,5.9294,9.38832599374381,5.24360001688665,23.616,71.001,1.8636,103.56,1015.8,0
01-Jan-2021 06:00:00,16.793,6.54501611514177,16.1006092901863,23.752,72.106,2.9424,109.35,1015.5,0
01-Jan-2021 06:10:00,45.9,39.2849046211289,39.07829686634,24.042,72.362,5.5642,111.66,1015,0
01-Jan-2021 06:20:00,79.971,183.615526601801,57.142561965501,24.311,69.184,3.7057,102.295,1015.8,0
01-Jan-2021 06:30:00,114.96,264.596604736371,72.7331896662129,24.801,70.319,4.0183,108.98,1016,0
01-Jan-2021 06:40:00,151.09,338.477172198569,84.592004292903,24.882,71.87,4.8231,110.835,1016,0
01-Jan-2021 06:50:00,191.63,427.802933148424,91.8534911418426,25.016,71.693,3.3889,103.405,1016,0
01-Jan-2021 07:00:00,233.99,510.898788814969,95.9995051874156,25.481,68.182,3.0836,108.96,1016,0
01-Jan-2021 07:10:00,275.45,571.911793394833,100.070471190561,25.89,67.711,3.2143,102.545,1016,0
01-Jan-2021 07:20:00,313.42,601.992203479127,106.977716637591,26.148,66.524,2.8998,95.4905,1016,0
01-Jan-2021 07:30:00,352.14,631.683666467391,112.723772521389,26.404,64.783,3.7216,104.58,1016,0
01-Jan-2021 07:40:00,391.4,660.70584585433,117.479596609288,26.581,63.179,3.5527,97.77,1016,0
01-Jan-2021 07:50:00,428.87,679.24813484462,123.399556820236,26.945,60.103,3.3406,105.005,1016,0
01-Jan-2021 08:00:00,469.79,710.594366346249,125.595663445579,27.032,60.821,4.5827,109.825,1016,0
01-Jan-2021 08:10:00,510.18,737.852860036773,127.794011896924,27.123,60.914,3.9578,107.565,1016,0
01-Jan-2021 08:20:00,551.36,766.096917691264,128.911456922766,27.301,61.245,4.4585,111.59,1015.6,0
01-Jan-2021 08:30:00,591.28,788.863397533264,130.681020521792,27.542,59.274,6.51,114.07,1015,0
01-Jan-2021 08:40:00,631.59,812.070834911513,131.804560654854,27.617,58.944,5.0012,109.08,1015.2,0
01-Jan-2021 08:50:00,666.33,820.432394144085,136.222629656258,27.721,56.496,6.4897,111.13,1015,0
01-Jan-2021 09:00:00,700.75,829.54404184862,140.108210224751,27.743,56.587,5.6474,109.57,1015,0
01-Jan-2021 09:10:00,733.73,836.743982809732,144.162559788927,27.618,58.882,6.6133,114.625,1015,0
01-Jan-2021 09:20:00,766.53,845.325698571771,147.533845243073,27.634,59.392,6.1181,115.73,1015,0
01-Jan-2021 09:30:00,797.76,852.297451412363,151.036314961192,27.579,60.52,6.0904,120.76,1015,0
01-Jan-2021 09:40:00,827.6,858.359546026141,154.494586513564,28.015,58.682,6.2545,119.095,1015,0
01-Jan-2021 09:50:00,855.7,863.127173514375,158.006019153123,28.475,57.534,5.5942,116.4,1015,0
01-Jan-2021 10:00:00,881.8,866.374968305583,161.637982839911,28.637,55.419,5.4016,112.17,1015,0
01-Jan-2021 10:10:00,906.7,869.78337246607,164.947121797783,28.47,55.085,6.6336,114.77,1015,0
01-Jan-2021 10:20:00,929.8,872.374674538494,168.193915458073,28.326,55.911,6.5563,113.74,1015,0
01-Jan-2021 10:30:00,950.7,873.665106492927,171.48997656003,28.537,57.313,6.4792,119.77,1015,0
01-Jan-2021 10:40:00,970.7,875.85112468206,174.279284967225,28.152,60.135,6.9988,116.98,1015,0
01-Jan-2021 10:50:00,992.4,882.777038375267,175.592314290564,28.253,60.458,6.1028,117.41,1014.7,0
01-Jan-2021 11:00:00,1011.1,887.301277503783,177.268650612987,28.168,61.17,6.9359,119.415,1014,0
01-Jan-2021 11:10:00,1028.5,892.060066529144,178.644991195236,28.083,62.92,6.4962,118.52,1014,0
01-Jan-2021 11:20:00,1043.6,895.720782978523,180.032318589675,28.73,60.454,5.3728,120.89,1014,0
01-Jan-2021 11:30:00,1057.4,899.734615798704,181.09816611045,29.222,57.107,6.1421,121.15,1014,0
01-Jan-2021 11:40:00,1068,901.743727882369,182.287801601186,29.348,55.939,5.9659,120.81,1014,0
01-Jan-2021 11:50:00,1079.4,906.740595346783,182.725105088909,29.404,55.719,6.5631,117.62,1014,0
01-Jan-2021 12:00:00,1086.8,908.936774495765,183.353588024909,28.975,57.928,6.3172,123.99,1014,0
01-Jan-2021 12:10:00,1088.5,906.534717703563,184.321728082732,28.767,58.596,6.3878,114.61,1014,0
01-Jan-2021 12:20:00,1090.7,906.779233879807,184.628417492396,29.001,58.271,6.2069,122.095,1014,0
01-Jan-2021 12:30:00,1089.8,905.4387643921,184.897870744894,28.917,58.939,6.1769,119.01,1014,0
01-Jan-2021 12:40:00,1084.1,900.444379689959,185.487796607205,29.117,57.319,6.3145,119.83,1014,0
01-Jan-2021 12:50:00,1085.2,905.863353736392,183.960860531265,29.286,56.04,5.8759,121.145,1014,0
01-Jan-2021 13:00:00,1078.3,903.503689275175,183.635577569964,29.093,56.786,6.1917,118.06,1014,0
01-Jan-2021 13:10:00,1070,901.9739407957,182.549112999818,29.444,56.834,4.7368,126.71,1014,0
01-Jan-2021 13:20:00,1058.5,898.319317091774,181.741567407088,29.724,54.693,5.4046,119.63,1014,0
01-Jan-2021 13:30:00,1046,895.461924955798,180.531725063396,29.293,56.107,5.3523,127.25,1014,0
01-Jan-2021 13:40:00,1032,892.716573630683,179.04704786621,29.875,53.574,5.037,128.16,1014,0
01-Jan-2021 13:50:00,1021,896.272998894927,175.961288288987,29.624,53.75,5.1064,123.05,1014,0
01-Jan-2021 14:00:00,998.4,886.005876827089,175.530399410118,30.201,52.463,4.2177,129.19,1014,0
01-Jan-2021 14:10:00,986.9,893.653775087668,170.910205793957,30.202,52.526,4.5553,130.735,1013.7,0
01-Jan-2021 14:20:00,960.9,882.605093965821,170.080675141723,30.016,53.283,4.1428,120.005,1013.1,0
01-Jan-2021 14:30:00,943.5,886.33694769653,165.755495046768,29.87,53.684,4.647,124.79,1013,0
01-Jan-2021 14:40:00,916.6,877.713795526814,163.904459923522,29.473,54.397,4.7868,129.73,1013.6,0
01-Jan-2021 14:50:00,888.2,868.051051637671,162.223973778312,29.361,54.854,3.8575,136.015,1013,0
01-Jan-2021 15:00:00,859.3,859.385637085533,160.037949459281,29.482,54.233,3.4344,130.96,1013,0
01-Jan-2021 15:10:00,833.8,858.800422757622,155.492795555829,29.632,52.539,2.8198,124.95,1013,0
01-Jan-2021 15:20:00,800.01,844.291767573305,154.357197863818,29.936,51.585,3.0517,136.85,1013.2,0
01-Jan-2021 15:30:00,766.05,830.370670365976,152.852340621084,29.54,52.336,2.6999,131.81,1013.2,0
01-Jan-2021 15:40:00,733.64,821.308717310235,149.662149216353,29.014,54.936,3.0936,138.01,1013.5,0
01-Jan-2021 15:50:00,700.95,813.401054702011,145.82030687951,29.248,54.69,3.1443,134.07,1013.4,0
01-Jan-2021 16:00:00,665.97,801.159273820577,142.779928253847,29.4,54.082,2.9302,114.371,1013.3,0
01-Jan-2021 16:10:00,626.95,779.115807159527,141.994507024162,29.676,52.814,2.3411,134.8,1013.4,0
01-Jan-2021 16:20:00,588.76,758.998602579531,140.080361189099,29.657,52.596,2.7506,134.16,1014,0
01-Jan-2021 16:30:00,549.53,735.637634438561,138.398395078287,29.184,54.399,2.6302,130.46,1014,0
01-Jan-2021 16:40:00,509.58,708.972266825233,136.797698967307,29.216,54.058,2.0508,140.51,1014,0
01-Jan-2021 16:50:00,471.53,688.275730858277,132.869665668312,29.306,54.194,2.4723,138.18,1014,0
01-Jan-2021 17:00:00,432.35,662.140825669996,129.353723424969,28.994,55.463,2.7762,121.01,1014,0
01-Jan-2021 17:10:00,393.02,633.247089780734,125.393691055174,28.876,54.515,2.2837,129.37,1014,0
01-Jan-2021 17:20:00,353.66,601.253957559184,120.895895919816,29.15,53.673,0.8298,161.1,1014,0
01-Jan-2021 17:30:00,316.17,575.768609762369,114.059832625762,28.972,55.83,1.7859,147.06,1014,0
01-Jan-2021 17:40:00,281.93,566.476673705995,103.643809964055,28.717,55.708,2.2509,185.08,1014,0
01-Jan-2021 17:50:00,243.63,528.213411031304,96.6823487698647,28.726,54.997,0.7819,225.65,1014.2,0
01-Jan-2021 18:00:00,206.16,487.359354962345,88.5302490846127,28.919,52.969,0.7026,238.46,1015,0
01-Jan-2021 18:10:00,166.45,414.352949755099,81.7387253987216,28.765,54.023,0.4421,200.5,1015,0
01-Jan-2021 18:20:00,132.31,373.581273986676,69.8635319039858,28.398,59.632,1.8633,148.56,1015,0
01-Jan-2021 18:30:00,100.68,342.844242396269,55.9744200760397,27.956,60.393,1.7918,124.21,1015,0
01-Jan-2021 18:40:00,69.977,217.962762451157,41.5488822336129,27.803,62.578,2.0377,123.07,1015,0
01-Jan-2021 18:50:00,38.833,0,26.9438621816289,27.381,66.773,2.3604,131.17,1015,0
01-Jan-2021 19:00:00,13.491,0,10.8652553956668,26.874,70.25,2.6907,118.54,1015.7,0
01-Jan-2021 19:10:00,1.7928,0,1.11578510938213,26.402,71.267,1.725,117.95,1016,0
01-Jan-2021 19:20:00,0,0,0,26.356,72.407,1.8862,109.32,1016,0
01-Jan-2021 19:30:00,0,0,0,26.141,73.631,1.4059,103.55,1016,0
01-Jan-2021 19:40:00,0,0,0,25.919,74.499,0.2856,97.13,1016,0
01-Jan-2021 19:50:00,0,0,0,25.659,75.668,0.1153,100.85,1016,0
01-Jan-2021 20:00:00,0,0,0,25.533,77.568,0.6947,111.95,1016,0
01-Jan-2021 20:10:00,0,0,0,25.206,79.368,0.5918,87.347,1016,0
01-Jan-2021 20:20:00,0,0,0,24.691,79.777,0.1653,107.87,1016,0
01-Jan-2021 20:30:00,0,0,0,24.018,78.394,0.103,77.892,1016,0
01-Jan-2021 20:40:00,0,0,0,23.578,77.033,0.103,92.889,1016.3,0
01-Jan-2021 20:50:00,0,0,0,23.73,75.604,0.103,89.36,1017,0
01-Jan-2021 21:00:00,0,0,0,23.943,74.695,0.103,72.458,1017,0
01-Jan-2021 21:10:00,0,0,0,24.364,73.734,0.103,77.664,1017,0
01-Jan-2021 21:20:00,0,0,0,24.603,72.639,0.103,79.686,1017,0
01-Jan-2021 21:30:00,0,0,0,24.809,72.783,0.3914,98.39,1017,0
01-Jan-2021 21:40:00,0,0,0,25.037,75.381,0.4571,97.051,1017,0
01-Jan-2021 21:50:00,0,0,0,24.897,76.373,0.103,75.383,1017,0
01-Jan-2021 22:00:00,0,0,0,24.569,76.751,0.103,101.672,1017,0
01-Jan-2021 22:10:00,0,0,0,24.599,77.56,1.0117,122.57,1017,0
01-Jan-2021 22:20:00,0,0,0,24.813,77.928,0.5686,102.01,1017,0
01-Jan-2021 22:30:00,0,0,0,24.771,78.212,0.3853,101.52,1017,0
01-Jan-2021 22:40:00,0,0,0,24.656,77.889,1.3616,109.8,1017,0
01-Jan-2021 22:50:00,0,0,0,24.917,76.032,2.6647,117.32,1017,0
01-Jan-2021 23:00:00,0,0,0,25.295,74.704,2.9154,112.25,1017,0
01-Jan-2021 23:10:00,0,0,0,25.28,74.233,4.0869,110.86,1017,0
01-Jan-2021 23:20:00,0,0,0,24.966,76.978,3.2689,116.715,1017,0
01-Jan-2021 23:30:00,0,0,0,24.85,77.073,3.3679,117.88,1017,0
01-Jan-2021 23:40:00,0,0,0,25.007,76.009,3.4322,112.32,1017,0
01-Jan-2021 23:50:00,0,0,0,24.805,78.158,3.5622,112.86,1017,0
02-Jan-2021 00:00:00,0,0,0,24.541,80.013,3.9566,113.5,1017,0
02-Jan-2021 00:10:00,0,0,0,24.235,81.06,3.5102,118.93,1017,0
02-Jan-2021 00:20:00,0,0,0,23.85,81.89,3.3546,117.09,1016.6,0
02-Jan-2021 00:30:00,0,0,0,24.051,80.77,3.4017,110.89,1016,0
02-Jan-2021 00:40:00,0,0,0,24.368,78.974,2.315,104.405,1016,0
02-Jan-2021 00:50:00,0,0,0,24.567,76.647,1.9003,96.47,1016,0
02-Jan-2021 01:00:00,0,0,0,24.563,78.02,3.9855,118.71,1016,0
02-Jan-2021 01:10:00,0,0,0,23.931,83.04,4.2051,122.31,1016,0
02-Jan-2021 01:20:00,0,0,0,23.551,86.4,3.8859,111.63,1016,0
02-Jan-2021 01:30:00,0,0,0,23.469,86.71,3.3055,104.86,1016,0
02-Jan-2021 01:40:00,0,0,0,23.63,85.52,2.9434,103.19,1016,0
02-Jan-2021 01:50:00,0,0,0,23.718,83.83,3.8305,108.22,1016,0
02-Jan-2021 02:00:00,0,0,0,23.8,82.66,3.7444,107.135,1016,0
02-Jan-2021 02:10:00,0,0,0,23.724,81.08,2.8315,96.707,1016,0
02-Jan-2021 02:20:00,0,0,0,23.9,79.55,3.2832,91.73,1016,0
02-Jan-2021 02:30:00,0,0,0,23.912,77.695,2.4126,99.42,1016,0
02-Jan-2021 02:40:00,0,0,0,23.768,77.22,3.1532,107.92,1016,0
02-Jan-2021 02:50:00,0,0,0,23.822,76.606,3.2676,103.895,1015.9,0
02-Jan-2021 03:00:00,0,0,0,23.99,74.497,4.504,114.15,1015,0
